Requirement_ID,Requirement,Source,Implementation,Verification,Population,Status,Evidence
REQ-CONF-001,Exactly 20 traceable pre-series units,Customer,LOT_SERIAL_REGISTER and travellers,EVT-CM-01,20_of_20,OPEN,
REQ-HW-001,Station uses custom PCB not WeAct,Customer,PCB_MAIN PCB_MIC PCB_PWR released design,ERC DRC DFM plus inspection,All_revisions,OPEN,
REQ-AUD-001,Four matched microphones in 3 plus 1 geometry,Project baseline,PCB_MIC and acoustic head,EVT-AUD-01,20_of_20,OPEN,
REQ-AUD-002,Lower triangle side is 120 mm and MIC4 is plus 150 mm,Project baseline,ACOUSTIC_GEOMETRY.csv,Dimensional measurement,20_of_20,OPEN,
REQ-PWR-001,LiFePO4 capacity is 40-60 Ah,Customer,Frozen pack and power module,Incoming plus EVT-ENE-01/03,20_of_20,OPEN,
REQ-PWR-002,Solar panel is 60-80 W,Customer,Frozen panel and MPPT,Incoming plus EVT-ENE-02,20_of_20,OPEN,
REQ-PWR-003,Target no-sun autonomy is 30 days,Project baseline,Power states and duty-cycle control,EVT-ENE-03,Representative_plus_model,OPEN,
REQ-CELL-001,Primary communications use GSM LTE outbound only,Customer and baseline,BG95 class modem and public APN profile,EVT-CELL-01/02,20_of_20,OPEN,
REQ-CELL-002,Pilot supports ordinary SIM without operator API,Customer clarification,Local SIM register and outbound MQTT TLS HTTPS,EVT-CELL-01/03,Approved_SIM_profiles,OPEN,
REQ-CELL-003,Offline events are retained and delivered after recovery,Baseline,Store-and-forward queue,EVT-CELL-03,20_of_20,OPEN,
REQ-CELL-004,Two physical SIM cards use Dual SIM Single Standby and safe failover,Customer,Dual nano-SIM plus external mux and authenticated policy,EVT-CELL-04,20_of_20,OPEN,
REQ-CELL-005,Each pilot SIM uses only provisioned public APN profiles,Customer,Versioned public APN profile set; private APN rejected,EVT-CELL-01/02/04,Approved_operator_profiles,OPEN,
REQ-LORA-001,All EVT-PRE-20 units use RU868; common hardware retains future EU868 compatibility,Customer,Locked RU868 pilot profile and disabled EU868 future template,EVT-LORA-RU,20_of_20,OPEN,
REQ-LORA-002,LoRa TX is disabled until regional approval,Engineering safety,tx_enabled false profiles,Configuration audit,All_units_before_release,OPEN,
REQ-BLE-001,BLE supports local configuration and diagnostics,Customer,Authenticated service GATT,EVT-BLE-01,20_of_20,OPEN,
REQ-OTA-001,Station supports signed resumable A B update and rollback,Customer,Secure boot OTA service and Android client,EVT-OTA-01,20_of_20_plus_fault_subset,OPEN,
REQ-REC-001,USB-C provides controlled service recovery,Project baseline,Boot recovery interface,Recovery test,20_of_20,OPEN,
REQ-SRV-001,Latest compatible Mukhoyed release is included,Customer,Server source release and lockfile,EVT-SRV-01,Every_release,OPEN,
REQ-SRV-002,Mukhoyed deploys on Windows 11 and Ubuntu 24.04,Customer,Deployment bundles,Fresh-install and restore tests,Each_platform,OPEN,
REQ-SRV-003,Server handles 20 stations,Project need,Authenticated ingress registry and storage,EVT-SRV-02,Simulation_plus_live,OPEN,
REQ-CLS-001,Hierarchical family and type decisions use 4 to 8 unique feature windows,Customer,Portable firmware consensus plus bounded live server consensus and 4/6/8 temporal model,C unit API replay and field classification tests,Every_detection_series,PARTIAL_PASS_HOST,Host regression only; field validation remains open
REQ-POS-001,Locked installation coordinates survive power loss and reject unauthorized or rollback writes,DEC-018,Portable atomic dual-slot record with CRC commit marker read-back and monotonic version,C fault-injection plus STM32 Flash and assembled-station tests,20_of_20,PARTIAL_PASS_HOST,Portable C QG passed; STM32 Flash binding and hardware evidence remain open
REQ-MECH-001,Separate full-lot fallback housing package exists for 3D printing,Customer,mechanics/3d_print release set,EVT-MECH-3D,Engineering_sample_and_20_if_fallback,OPEN,
REQ-MECH-002,Primary pilot allocation is 20 vacuum-cast housings and TPA remains source-data-only,Customer,Independent vacuum and injection source releases with no pilot TPA tooling,EVT-MECH-VC and source audit EVT-MECH-IM,20_vacuum_plus_source_audit,OPEN,
REQ-MECH-003,Enclosure minimum IP65 target IP67,Project baseline,Seals membranes vents and process control,Leak plus ingress campaign,20_primary_or_approved_fallback,OPEN,
REQ-APP-001,Android application configures station offline,Customer,Separate no-GMS BLE app,Android acceptance plus EVT-BLE-01,Supported_devices,OPEN,
REQ-APP-002,Android application updates station firmware securely,Customer,Signed OTA client with resume,Android acceptance plus EVT-OTA-01,Supported_devices,OPEN,
REQ-MFG-001,All 20 units receive 100 percent EOL,Quality policy,EOL fixture and register,EOL_TEST_SPEC,20_of_20,OPEN,
REQ-MFG-002,China procurement is traceable and substitutions controlled,Customer procurement intent,RFQ AVL incoming control ECN,Receiving audit,All_lots,OPEN,
REQ-SEC-001,Secrets and private signing keys are absent from Git and CM bundle,Security policy,Provisioning trust separation,Secret scan plus provisioning audit,Every_release,OPEN,
REQ-CM-001,All deliverables have QG1 and QG2 gates,Project baseline,Deliverable register and manifests,Independent release audit,Every_release,OPEN,
